name,type,start_time,duration,"ack","address","read","data"
"I2C","start",6.6953591,1.00000001e-07,,,,
"I2C","start",6.6953925,1e-07,,,,
"I2C","address",6.6954243,0.0002804,true,0x08,false,
"I2C","data",6.6957108,0.0002804,true,,,0x4F
"I2C","data",6.6959974,0.0002804,true,,,0x00
"I2C","stop",6.6963097,1e-07,,,,
"I2C","start",6.6963318,9.99999993e-08,,,,
"I2C","address",6.6963636,0.0002804,true,0x08,false,
"I2C","data",6.6966501,0.0002804,true,,,0x50
"I2C","data",6.6969367,0.0002804,true,,,0x0F
"I2C","stop",6.6972491,1e-07,,,,
"I2C","start",6.6972685,1e-07,,,,
"I2C","address",6.6973003,0.0002803,true,0x08,false,
"I2C","data",6.6975867,0.0002801,true,,,0x4C
"I2C","data",6.6978729,0.0002801,true,,,0x05
"I2C","stop",6.6981849,9.99999993e-08,,,,
"I2C","start",6.6982057,1.00000001e-07,,,,
"I2C","address",6.6982374,0.0002801,true,0x08,false,
"I2C","data",6.6985236,0.0002801,true,,,0x4D
"I2C","data",6.6988098,0.0002801,true,,,0x03
"I2C","stop",6.6991218,9.99999993e-08,,,,
"I2C","start",6.6991433,9.99999993e-08,,,,
"I2C","address",6.699175,0.0002801,true,0x08,false,
"I2C","data",6.6994612,0.0002801,true,,,0x52
"I2C","data",6.6997474,0.0002801,true,,,0x09
"I2C","stop",6.7000594,1e-07,,,,
"I2C","start",6.7000809,1e-07,,,,
"I2C","address",6.7001127,0.0002801,true,0x08,false,
"I2C","data",6.7003989,0.0002801,true,,,0x53
"I2C","data",6.7006851,0.0002801,true,,,0x0F
"I2C","stop",6.7009971,9.99999993e-08,,,,
"I2C","start",6.711686,9.99999993e-08,,,,
"I2C","address",6.7117177,0.0002801,true,0x08,false,
"I2C","data",6.7120039,0.0002801,true,,,0x9C
"I2C","data",6.7122901,0.0002801,true,,,0x80
"I2C","stop",6.7126021,1e-07,,,,
"I2C","start",6.7126434,1e-07,,,,
"I2C","address",6.7126751,0.0002801,true,0x08,false,
"I2C","data",6.7129613,0.0002801,true,,,0x9E
"I2C","data",6.7132475,0.0002801,true,,,0x20
"I2C","stop",6.7135595,1e-07,,,,
"I2C","start",6.7236858,1e-07,,,,
"I2C","address",6.7237176,0.0002801,true,0x08,false,
"I2C","data",6.7240038,0.0002801,true,,,0x42
"I2C","data",6.72429,0.0002801,true,,,0x02
"I2C","stop",6.724602,1e-07,,,,
"I2C","start",6.7346863,1e-07,,,,
"I2C","address",6.7347181,0.00028,true,0x08,false,
"I2C","data",6.7350043,0.00028,true,,,0x94
"I2C","data",6.7352905,0.00028,true,,,0xA0
"I2C","stop",6.7356024,9.99999993e-08,,,,
"I2C","start",6.7356206,1e-07,,,,
"I2C","address",6.7356524,0.0002801,true,0x08,false,
"I2C","data",6.7359386,0.0002801,true,,,0x3B
"I2C","data",6.7362248,0.0002801,true,,,0x0F
"I2C","stop",6.7365368,1e-07,,,,
"I2C","start",6.7365581,1e-07,,,,
"I2C","address",6.7365898,0.0002801,true,0x08,false,
"I2C","data",6.736876,0.0002801,true,,,0x35
"I2C","data",6.7371622,0.0002801,true,,,0x0F
"I2C","stop",6.7374742,9.99999993e-08,,,,
"I2C","start",6.9511691,1e-07,,,,
"I2C","address",6.9511786,8.07e-05,true,0x08,false,
"I2C","data",6.9512641,8.07e-05,true,,,0x42
"I2C","data",6.9513496,8.07e-05,true,,,0x01
"I2C","stop",6.9514398,9.99999993e-08,,,,
"I2C","start",8.1363736,9.99999993e-08,,,,
"I2C","address",8.1363831,8.07e-05,true,0x3F,false,
"I2C","data",8.1364686,8.07e-05,true,,,0x39
"I2C","data",8.1365541,8.07e-05,true,,,0x00
"I2C","stop",8.1366444,9.99999993e-08,,,,
"I2C","start",8.1366492,9.99999993e-08,,,,
"I2C","address",8.1366587,8.07e-05,true,0x3F,false,
"I2C","data",8.1367442,8.07e-05,true,,,0x3F
"I2C","data",8.1368297,8.07e-05,true,,,0x80
"I2C","stop",8.13692,9.99999993e-08,,,,
"I2C","start",8.1369247,9.99999993e-08,,,,
"I2C","address",8.1369342,8.07e-05,true,0x3F,false,
"I2C","data",8.1370197,8.07e-05,true,,,0x05
"I2C","stop",8.13711,9.99999993e-08,,,,
"I2C","start",8.1371147,1.00000001e-07,,,,
"I2C","address",8.1371242,8.07e-05,true,0x3F,true,
"I2C","data",8.1372097,8.07e-05,false,,,0xF0
"I2C","stop",8.1373,9.99999993e-08,,,,
"I2C","start",8.1373048,9.99999993e-08,,,,
"I2C","address",8.1373143,8.06e-05,true,0x3F,false,
"I2C","data",8.1373998,8.06e-05,true,,,0x31
"I2C","stop",8.13749,1.00000001e-07,,,,
"I2C","start",8.1374948,9.99999993e-08,,,,
"I2C","address",8.1375043,8.07e-05,true,0x3F,true,
"I2C","data",8.1375898,8.07e-05,false,,,0x13
"I2C","stop",8.13768,1.00000001e-07,,,,
"I2C","start",8.1376848,9.99999993e-08,,,,
"I2C","address",8.1376943,8.07e-05,true,0x3F,false,
"I2C","data",8.1377798,8.07e-05,true,,,0x32
"I2C","stop",8.13787,1.00000001e-07,,,,
"I2C","start",8.1378748,9.99999993e-08,,,,
"I2C","address",8.1378843,8.07e-05,true,0x3F,true,
"I2C","data",8.1379698,8.07e-05,false,,,0x00
"I2C","stop",8.1380601,9.99999993e-08,,,,
"I2C","start",8.3373612,9.99999993e-08,,,,
"I2C","address",8.3373707,8.07e-05,true,0x3F,false,
"I2C","data",8.3374562,8.07e-05,true,,,0x45
"I2C","stop",8.3375465,9.99999993e-08,,,,
"I2C","start",8.3375512,9.99999993e-08,,,,
"I2C","address",8.3375607,8.07e-05,true,0x3F,true,
"I2C","data",8.3376462,8.07e-05,false,,,0x11
"I2C","stop",8.3377365,9.99999993e-08,,,,
"I2C","start",8.3473707,9.99999993e-08,,,,
"I2C","address",8.3473802,8.07e-05,true,0x3F,false,
"I2C","data",8.3474657,8.07e-05,true,,,0x45
"I2C","stop",8.347556,9.99999993e-08,,,,
"I2C","start",8.3475607,9.99999993e-08,,,,
"I2C","address",8.3475702,8.07e-05,true,0x3F,true,
"I2C","data",8.3476557,8.07e-05,false,,,0x11
"I2C","stop",8.347746,9.99999993e-08,,,,
"I2C","start",8.3573804,9.99999993e-08,,,,
"I2C","address",8.3573899,8.07e-05,true,0x3F,false,
"I2C","data",8.3574754,8.07e-05,true,,,0x45
"I2C","stop",8.3575656,1.00000001e-07,,,,
"I2C","start",8.3575704,9.99999993e-08,,,,
"I2C","address",8.3575799,8.07e-05,true,0x3F,true,
"I2C","data",8.3576654,8.07e-05,false,,,0x11
"I2C","stop",8.3577557,9.99999993e-08,,,,
"I2C","start",8.3673597,9.99999993e-08,,,,
"I2C","address",8.3673692,8.06e-05,true,0x3F,false,
"I2C","data",8.3674547,8.06e-05,true,,,0x45
"I2C","stop",8.3675449,9.99999993e-08,,,,
"I2C","start",8.3675497,1.00000001e-07,,,,
"I2C","address",8.3675592,8.07e-05,true,0x3F,true,
"I2C","data",8.3676447,8.07e-05,false,,,0x11
"I2C","stop",8.3677349,1.00000001e-07,,,,
"I2C","start",8.3773694,1.00000001e-07,,,,
"I2C","address",8.3773789,8.07e-05,true,0x3F,false,
"I2C","data",8.3774644,8.07e-05,true,,,0x45
"I2C","stop",8.3775547,1.00000001e-07,,,,
"I2C","start",8.3775595,1.00000001e-07,,,,
"I2C","address",8.377569,8.06e-05,true,0x3F,true,
"I2C","data",8.3776545,8.06e-05,false,,,0x11
"I2C","stop",8.3777447,1.00000001e-07,,,,
"I2C","start",8.3873792,9.99999993e-08,,,,
"I2C","address",8.3873887,8.07e-05,true,0x3F,false,
"I2C","data",8.3874742,8.07e-05,true,,,0x45
"I2C","stop",8.3875645,9.99999993e-08,,,,
"I2C","start",8.3875692,9.99999993e-08,,,,
"I2C","address",8.3875787,8.07e-05,true,0x3F,true,
"I2C","data",8.3876642,8.07e-05,false,,,0x11
"I2C","stop",8.3877545,9.99999993e-08,,,,
"I2C","start",8.3973583,9.99999993e-08,,,,
"I2C","address",8.3973678,8.07e-05,true,0x3F,false,
"I2C","data",8.3974533,8.07e-05,true,,,0x45
"I2C","stop",8.3975436,9.99999993e-08,,,,
"I2C","start",8.3975483,9.99999993e-08,,,,
"I2C","address",8.3975578,8.07e-05,true,0x3F,true,
"I2C","data",8.3976433,8.07e-05,false,,,0x11
"I2C","stop",8.3977336,1.00000001e-07,,,,
"I2C","start",8.4073682,9.99999993e-08,,,,
"I2C","address",8.4073777,8.07e-05,true,0x3F,false,
"I2C","data",8.4074632,8.07e-05,true,,,0x45
"I2C","stop",8.4075535,9.99999993e-08,,,,
"I2C","start",8.4075582,9.99999993e-08,,,,
"I2C","address",8.4075677,8.07e-05,true,0x3F,true,
"I2C","data",8.4076532,8.07e-05,false,,,0x11
"I2C","stop",8.4077435,9.99999993e-08,,,,
"I2C","start",8.4173778,9.99999993e-08,,,,
"I2C","address",8.4173873,8.07e-05,true,0x3F,false,
"I2C","data",8.4174728,8.07e-05,true,,,0x45
